1,United States of America,1
2,Afghanistan,1
3,Albania,1
4,Algeria,1
5,Angola,1
6,Antigua and Barbuda,1
7,Argentina,1
8,Armenia,1
9,Australia,1
10,Austria,1
11,Azerbaijan,1
12,Anguilla,0
13,Aruba,0
14,Bahamas,1
15,Bahrain,1
16,Bangladesh,1
17,Barbados,1
18,Belarus,1
19,Belgium,1
20,Belize,1
21,Benin,1
22,Bermuda,0
23,Bhutan,1
24,Bolivia (Plurinational State of),1
25,Bonaire- Sint Eustatius and Saba,0
26,Bosnia and Herzegovina,1
27,Botswana,1
28,Brazil,1
29,British Virgin Islands,0
30,Brunei Darussalam,1
31,Bulgaria,1
32,Burkina Faso,0
33,Burundi,1
34,Cabo Verde,1
35,Cambodia,1
36,Cameroon,1
37,Canada,1
38,Cayman Islands,0
39,Central African Republic,1
40,Chad,1
41,Channel Islands,0
42,Chile,1
43,China,1
44,China- Hong Kong SAR,0
45,China- Macao SAR,0
46,Colombia,1
47,Comoros,1
48,Congo,1
49,Cook Islands,0
50,Costa Rica,1
51,Croatia,1
52,Cuba,1
53,Curaçao,0
54,Cyprus,1
55,Czechia (Czech Republic),1
56,Côte d’Ivoire,1
57,Democratic People's Republic of Korea,1
58,Democratic Republic of the Congo,1
59,Denmark,1
60,Djibouti,1
61,Dominica,1
62,Dominican Republic,1
63,Ecuador,1
64,Egypt,1
65,El Salvador,1
66,Equatorial Guinea,1
67,Eritrea,1
68,Estonia,1
69,Eswatini,1
70,Ethiopia,1
71,Falkland Islands (Malvinas),0
72,Faroe Islands,0
73,Fiji,1
74,Finland,1
75,France,1
76,French Guiana,0
77,French Polynesia,0
78,Gabon,1
79,Gambia,1
80,Georgia,1
81,Germany,1
82,Ghana,1
83,Gibraltar,1
84,Greece,1
85,Greenland,1
86,Grenada,1
87,Guadeloupe,1
88,Guatemala,1
89,Guinea,1
90,Guinea-Bissau,1
91,Guyana,1
92,Haiti,1
93,Holy See,0
94,Honduras,1
95,Hungary,1
96,Iceland,1
97,India,1
98,Indonesia,1
99,Iran (Islamic Republic of),1
100,Iraq,1
101,Ireland,1
102,Isle of Man,0
103,Israel,1
104,Italy,1
105,Jamaica,1
106,Japan,1
107,Jordan,1
108,Kazakhstan,1
109,Kenya,1
110,Kiribati,1
111,Kuwait,1
112,Kyrgyzstan,1
113,Lao People's Democratic Republic,1
114,Latvia,1
115,Lebanon,1
116,Lesotho,1
117,Liberia,1
118,Libya,1
119,Liechtenstein,1
120,Lithuania,1
121,Luxembourg,1
122,Madagascar,1
123,Malawi,1
124,Malaysia,1
125,Maldives,1
126,Mali,1
127,Malta,1
128,Martinique,0
129,Mauritania,1
130,Mauritius,1
131,Mayotte,0
132,Mexico,1
133,Micronesia (Federated States of),1
134,Monaco,1
135,Mongolia,1
136,Montenegro,1
137,Montserrat,0
138,Morocco,1
139,Mozambique,1
140,Myanmar,1
141,Namibia,1
142,Nauru,1
143,Nepal,1
144,Netherlands,1
145,New Caledonia,0
146,New Zealand,1
147,Nicaragua,1
148,Niger,1
149,Nigeria,1
150,Niue,0
151,Norway,1
152,Oman,1
153,Pakistan,1
154,Palau,1
155,Panama,1
156,Papua New Guinea,1
157,Paraguay,1
158,Peru,1
159,Philippines,1
160,Poland,1
161,Portugal,1
162,Qatar,1
163,Republic of Korea,1
164,Republic of Moldova,1
165,Romania,1
166,Russian Federation,1
167,Rwanda,1
168,Réunion,0
169,Saint Helena,0
170,Saint Kitts and Nevis,1
171,Saint Lucia,1
172,Saint Pierre and Miquelon,0
173,Saint Vincent and the Grenadines,1
174,Samoa,1
175,San Marino,1
176,Sao Tome and Principe,1
177,Saudi Arabia,1
178,Senegal,1
179,Serbia,1
180,Seychelles,1
181,Sierra Leone,1
182,Singapore,1
183,Sint Maarten (Dutch part),0
184,Slovakia,1
185,Slovenia,1
186,Solomon Islands,1
187,Somalia,1
188,South Africa,1
189,South Sudan,1
190,Spain,1
191,Sri Lanka,1
192,State of Palestine,0
193,Sudan,1
194,Suriname,1
195,Sweden,1
196,Switzerland,1
197,Syrian Arab Republic,1
198,Tajikistan,1
199,Thailand,1
200,The former Yugoslav Republic of Macedonia (North Macedonia),1
201,Timor-Leste,1
202,Togo,1
203,Tokelau,0
204,Tonga,1
205,Trinidad and Tobago,1
206,Tunisia,1
207,Turkey,1
208,Turkmenistan,1
209,Turks and Caicos Islands,0
210,Tuvalu,1
211,Uganda,1
212,Ukraine,1
213,United Arab Emirates,1
214,United Kingdom,1
215,United Republic of Tanzania,1
216,Uruguay,1
217,Uzbekistan,1
218,Vanuatu,1
219,Venezuela (Bolivarian Republic of),1
220,Viet Nam,1
221,Wallis and Futuna Islands,0
222,Western Sahara,0
223,Yemen,1
224,Zambia,1
225,Zimbabwe,1
