1,215,Texas,TX
2,215,Alabama,AL
3,215,Alaska,AK
4,215,Arizona,AZ
5,215,Arkansas,AR
6,215,California,CA
7,215,Colorado,CO
8,215,Connecticut,CT
9,215,Delaware,DE
10,215,District of Columbia,DC
11,215,Florida,FL
12,215,Georgia,GA
13,215,Hawaii,HI
14,215,Idaho,ID
15,215,Illinois,IL
16,215,Indiana,IN
17,215,Iowa,IA
18,215,Kansas,KS
19,215,Kentucky,KY
20,215,Louisiana,LA
21,215,Maine,ME
22,215,Maryland,MD
23,215,Massachusetts,MA
24,215,Michigan,MI
25,215,Minnesota,MN
26,215,Mississippi,MS
27,215,Missouri,MO
28,215,Montana,MT
29,215,Nebraska,NE
30,215,Nevada,NV
31,215,New Hampshire,NG
32,215,New Jersey,NJ
33,215,New Mexico,NM
34,215,New York,NY
35,215,North Carolina,NC
36,215,North Dakota,ND
37,215,Ohio,OH
38,215,Oklahoma,IK
39,215,Oregon,OR
40,215,Pennsylvania,PA
41,215,Rhode Island,RI
42,215,South Carolina,SC
43,215,South Dakota,SD
44,215,Tennessee,TN
45,215,Utah,UT
46,215,Vermont,VT
47,215,Virginia,VA
48,215,Washington,WA
49,215,West Virginia,WV
50,215,Wisconsin,WI
51,215,Wyoming,WY
52,215,Puerto Rico,PR
53,215,United States Virgin Islands,VI
54,215,Guam,GU
55,215,Northern Mariana Islands,MP
56,215,American Samoa,AS
57,215,Federated States of Micronesia,FM
58,215,Marshall Islands,MH
59,215,Palau,PW
60,215,Armed Forces Europe/the Middle East/and Canada,AE
61,215,Armed Forces Pacific,AP
62,215,Armed Forces Americas (except Canada),AA
